ItemID,ItemNumber,ItemNumber_old,Description,Short_Desc,BrandID,Brand,CategoryID,Category,Each_Barcode,Origin_Country,img_filename,logo_filename,DateAdded,InCatalog,HF_UOM,SRP,CaseSRP,ProductFeatureA,ProductFeatureB,ProductFeatureC,ProductFeatureD,ProductFeatureE
17152,19007,,Propagation Heat Mat 48 x12 Daisy Chainable ~60W,Propagation Heat Mat 48 x12 Da,74,Hydrofarm,10,Seed Starting,638104016186,USA,19007.jpg,15050_hydrofarm-logos.png,1/21/2015,N,EACH,49.95,49.95,Warms the rooting area to approximately 10degreesF-20degreesF above ambient temperature,Perfect size for placing two standard trays end-to-end.. and ideal for placement under 4-foot fluorescent fixtures,Ensures that the entire bottom surface of all your trays will be heated uniformly,Mats can be daisy-chained (up to 10 mats) to reduce the number of power outlets needed to run multiple mats,Heavy-duty construction and materials
13046,AAC100,,1inches Straight Connector,1inches Straight Connector,87,Active Aqua,12,Pumps & Irrigation,638104005227,CHINA,AAC100.jpg,15018_ActiveAqualLOGO.jpg,9/15/2011,Y,CASE,0.96,9.55,,,,,
13047,AAC50,,1/2inches Straight Connector,1/2inches Straight Connector,87,Active Aqua,12,Pumps & Irrigation,638104005258,CHINA,AAC50.jpg,15018_ActiveAqualLOGO.jpg,9/15/2011,Y,CASE,0.36,3.6,,,,,
13048,AAC75,,3/4inches Straight Connector,3/4inches Straight Connector,87,Active Aqua,12,Pumps & Irrigation,638104005241,CHINA,AAC75.jpg,15018_ActiveAqualLOGO.jpg,9/15/2011,Y,CASE,0.75,7.5,,,,,
7637,AACH10,,Active Aqua Chiller 1/10 HP,Active Aqua Chiller 1/10 HP,87,Active Aqua,12,Pumps & Irrigation,638104000468,CHINA,AACH10.jpg,15018_ActiveAqualLOGO.jpg,12/15/2006,Y,EACH,379.95,379.95,,,,,
11776,AACH100,,Active Aqua Chiller.. 1 HP,Active Aqua Chiller.. 1 HP,87,Active Aqua,12,Pumps & Irrigation,638104000451,CHINA,AACH100.jpg,15018_ActiveAqualLOGO.jpg,7/9/2010,Y,EACH,1545,1545,,,,,
7641,AACH25,,Active Aqua Chiller.. 1/4 HP,Active Aqua Chiller.. 1/4 HP,87,Active Aqua,12,Pumps & Irrigation,638104000475,CHINA,AACH25.jpg,15018_ActiveAqualLOGO.jpg,12/15/2006,Y,EACH,524.95,524.95,,,,,
7638,AACH50,,Active Aqua Chiller.. 1/2 HP,Active Aqua Chiller.. 1/2 HP,87,Active Aqua,12,Pumps & Irrigation,638104000482,CHINA,AACH50.jpg,15018_ActiveAqualLOGO.jpg,12/15/2006,Y,EACH,944.95,944.95,,,,,
10850,AACHF1,,Active Aqua Chiller Fitting Kit for AACH10,AA Chiller Fitting Kit: for AA,87,Active Aqua,12,Pumps & Irrigation,638104009201,CHINA,AACHF1.jpg,15018_ActiveAqualLOGO.jpg,7/10/2009,Y,EACH,6.95,6.95,,,,,
10848,AACHF2,,AA Chiller Fitting Kit for AACH10,AA Chiller Fitting Kit: for AA,87,Active Aqua,12,Pumps & Irrigation,638104009188,CHINA,AACHF2.jpg,15018_ActiveAqualLOGO.jpg,7/10/2009,Y,EACH,6.95,6.95,,,,,
10851,AACHF3,,AA Chiller Fitting Kit: for AACH25 & AACH50,AA Chiller Fitting Kit: for AA,87,Active Aqua,12,Pumps & Irrigation,638104009164,CHINA,AACHF3.jpg,15018_ActiveAqualLOGO.jpg,7/10/2009,Y,EACH,8.95,8.95,,,,,
10845,AACHF4,,AA Chiller Fitting Kit for AACH25 & AACH50,AA Chiller Fitting Kit: for AA,87,Active Aqua,12,Pumps & Irrigation,638104009140,CHINA,AACHF4.jpg,15018_ActiveAqualLOGO.jpg,7/10/2009,Y,EACH,8.95,8.95,,,,,
10846,AACHF5,,AA Chiller Fitting Kit for AACH50,AA Chiller Fitting Kit: for AA,87,Active Aqua,12,Pumps & Irrigation,638104009126,CHINA,AACHF5.jpg,15018_ActiveAqualLOGO.jpg,7/10/2009,Y,EACH,10.95,10.95,,,,,
12789,AACHF6,,AA Chiller Fitting kit for AACH100,AA Chiller Fitting kit AACH100,87,Active Aqua,12,Pumps & Irrigation,638104000628,CHINA,AACHF6.jpg,15018_ActiveAqualLOGO.jpg,5/19/2011,N,EACH,14.95,14.95,,,,,
14957,AADHC100P,,Commercial 100 Pint Dehumidifier,Commercial 100 Pt Dehumidifier,84,Active Air,36,Ventilation,638104012041,CHINA,AADHC100P.jpg,8786_AA Logo.png,7/1/2013,Y,EACH,789.95,789.95,Automatic restart allows unit to be used with humidity controllers,Removable filter for easy cleaning,Built to last with heavy duty.. durable powder coated metal casing and a heavy duty compressor,Built-in defrost system engages at 32degreesF.. increasing efficiency by reducing defrost time,Casters or wheels for easy movement
14958,AADHC180P,,Commercial 180 Pint Dehumidifier,Commercial 180 Pt Dehumidifier,84,Active Air,36,Ventilation,638104012034,CHINA,AADHC180P.jpg,8786_AA Logo.png,7/1/2013,Y,EACH,1195.95,1195.95,Automatic restart allows unit to be used with humidity controllers,Easy-to-use digital display panel,Removable filter for easy cleaning,Built to last with heavy duty.. durable powder coated metal casing and a heavy duty compressor,Built-in defrost system engages at 32degreesF.. increasing efficiency by reducing defrost time
14959,AADHC60P,,Commercial 60 Pint Dehumidifier,Commercial 60 Pint Dehumidifie,84,Active Air,36,Ventilation,638104012096,CHINA,AADHC60P.jpg,8786_AA Logo.png,7/1/2013,Y,EACH,549.95,549.95,Automatic restart allows unit to be used with humidity controllers,Removable filter for easy cleaning,Built to last with heavy duty.. durable powder coated metal casing and a heavy duty compressor,Built-in defrost system engages at 32degreesF.. increasing efficiency by reducing defrost time,Casters or wheels for easy movement
15935,AAEFBK2,,ActiveAqua 1/2inches Fill/Drain Fit,ActiveAqua 1/2inches Fill/Drain Fit,87,Active Aqua,7,Hydro Components,10638104012833,CHINA,AAEFBK2.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,16.95,16.95,Half-inch fill and drain fitting,This fitting is commonly used to transfer nutrient solution between the flood table and the reservoir in flood & drain hydroponic systems,Rugged plastic construction,,
15936,AAEFBK3,,ActiveAqua 3/4inches Fill/Drain Fit,ActiveAqua 3/4inches Fill/Drain Fit,87,Active Aqua,7,Hydro Components,10638104012826,CHINA,AAEFBK3.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,18.95,18.95,Three-quarter inch fill and drain fitting,This fitting is commonly used to transfer nutrient solution between the flood table and the reservoir in flood & drain hydroponic systems,Rugged plastic construction,,
15937,AAEFBK4,,Active Aqua 1inches Fill/Drain Fit,Active Aqua 1inches Fill/Drain Fit,87,Active Aqua,7,Hydro Components,10638104012819,CHINA,AAEFBK4.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,19.95,19.95,Half-inch fill and drain fitting,This fitting is commonly used to transfer nutrient solution between the flood table and the reservoir in flood & drain hydroponic systems,Rugged plastic construction,,
15933,AAEFEX1,,Active Aqua Extension Fitting,Active Aqua Extension Fitting,87,Active Aqua,7,Hydro Components,10638104012796,CHINA,AAEFEX1.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,5.95,5.95,Extension fitting,This fitting allows you to raise the fill/drain level in a flood & drain hydroponic system,Use to set the proper fill level when using taller containers,,
15934,AAEFSC1,,Active Aqua Screen Fitting,Active Aqua Screen Fitting,87,Active Aqua,7,Hydro Components,10638104012802,CHINA,AAEFSC1.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,5.95,5.95,Screen fitting for flood table,Screened design allows nutrient solution to flow freely while preventing growing media from getting into the pump and reservoir,Rugged plastic construction,,
15931,AAEFWA1,,Active Aqua Washer Fitting,Active Aqua Washer Fitting,87,Active Aqua,7,Hydro Components,10638104012789,CHINA,AAEFWA1.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,3.95,3.95,Washer fitting for flood tables,Goes between the threaded flood table fitting and the table itself when assembling a flood/drain hydroponic system,Helps to assure a leak-free connection between the two components,,
